query id,model,temperature,query,generated text,avg generation time per token,sequence length
1,LSTM,0.7,what happened in news today?,where you are checking she said a special court has been seen as the most important company in the last few years and the payouts had been focused on the back of 1 4bn australian dollars 648m boost profit and inflation the economy is more inclined to feel that is a reflection of the major economy the cost of companies would be able to make the level of the unit of yugansk chairman alan greenspan said the bank was less than in the past few years it added its latest round of the dollar in a total of the international group which saw both sides for the us dollar closed up the yen on thursday is to launch up but now on tuesday to discuss the economy the sec s economic prospects rose by 4 7 in 2005 and analysts predict the us has been shivering increasing in the quarter of 2004 2004 slipping to 0 3 in january 2004 of the year our power plant says abn amro s chief executive for benin led the sale of a deal to acquire its profitability and clearing its us performance to pay 20 5bn the 27bn present if its options are,0.0034474420547485353,50
1,GRU,0.7,what happened in news today?,which controls the ballad of the vampire bat have never made a solution with the us a fund that this is the song in the past the us say the presenter has a little about the voice of the guide to the screen actors guild awards at the golden globes the national theatre while the guardian which take place and bbc news stars given the sale of its main biggest development companies the government also said it is interested in the eastern food has been shut by television and tv shows on dvd and video among its music projects on sunday the new version of the black eyed peas the top five film was named best foreign language film and shrek 2 and shrek 2 by the international festival and with the film and the story of the late british film and tv s credits in the us will be televised by fox and family bbc one it will also be able to sell off the rights of a tv film in the case there is a very light documentary language in the 1980 movies said in the uk as five as the film for the film the film is,0.001798269748687744,50
1,LSTM,1.0,what happened in news today?,she said it also made the uncertainty to sell the workforce of mr forgeard and would have the option although so such as a hostile perception the world s second book held at the end of the 48 years the sale of television the commerce department said the recent trend of 5 000 jobs in the uk was the three tier of the policy for the priorities of economic activity the cost of the economy became in bankruptcy he said as a whole cml to decision boeing s shares were down ahead and said uk imports were moved under pressure analysts for the sale of yugansk however the gallery has become increasingly legal analyst in the shadow s growth said beijing re deutsche boerse said a sharp index will remain out to make the pressure in yukos the cuts will include damages which really made it from the officials in raw materials deutsche boerse chief executive werner seifert the two presidents had published by mr mandelson for the bbc s flagship production unit with enron marsh bank of the natural energy force for the us demand for meet us government claims that airlines in consumer raw flexibility to power rules,0.0017886126041412353,50
1,GRU,1.0,what happened in news today?,who they are investing by invitation by so far once again have said the unions had taken the problems for the first time the sale of other exports were among the most so one who more difficult to play the brand yet such as the winners on sunday the band he said he was a great song in a live top of being disloyal a man at the mtv europe awards of that of musical stars under the un oscars who calls in sound of a series of action s film its new york series channel 4 working from 70 of sales us tv networks final series has been criticised for the support of bad weather for the two years and now have actually changed the scene according to india s current digital digital season in the new york hotel the dj and production of about 1 400 000 per way one investors can also supply the country and running a further option with some purchase in well being part of the damage but the respite and even not the government has been further interest rate rises in time and its pre european performance although it was the time that,0.0017640578746795654,50
2,LSTM,0.7,why did the market change?,the main debt of the uk economy will allow the fed of saabs to find the interests of the government s demands analysts then threatened its savings rise in 2005 the us dollar is likely to be trimmed by 1 8 in january in a year by the dollar to 5 2 and the good estimate of inflation in the last quarter of 2004 the world s biggest beermaker reliance said the country is the biggest new biggest company on the market it said the currency is the cost of the economy is under control of a major chunk of a negative shake over the last months of 2005 we s well inclined as well as a result of the environmental broadband government and the new increase would be a transitional year the government said the economy has forecast to remain in the fourth quarter of the first time since june the company said that its growth would be trimmed by 4 in 2004 for the year s rate of 5 growth the 22 year s biggest economy grew by 1 8 in 2003 in the year to march at the same time quarter percentage point rises in december closed,0.0018080055713653564,50
2,GRU,0.7,why did the market change?,remains highly successful or large profit of domestic demand to record sales of 49 5 1 last week in 2004 for a total of 1 5 million tonnes of crops to a little known high prices in the world the main car industry has been a good market for the final term the oil firm and that the company has raised a net loss of jobs to create sales and manufacturing sector are lagging operating and are taking over the company however the company said it would continue to advertise in 2005 production and australia operating profits were also among the main production capacity of 2004 sales spider time the national lottery bank also said that the shares were down 3 5 and more than expected points to 1 13bn in a deal worth 3bn euros a deal worth 3bn in the third quarter up to 100 000 staff the firm must also pay euros a wolf subsidiary company uk firm has been fined by food in 2002 to pay a two companies one of the home brand will have to be approved by the restructuring a record company the us government is not struggling to go on a global,0.001781378984451294,50
2,LSTM,1.0,why did the market change?,strong growth deputy officials were ready forward the fact that are around as he would destroy utterly producing a push up good song of the population makes pressure which we should have begun to be done some of the people polled of the big economy have been infringed when they were on fellow a version of official s proposals prince such as charles or queen friends and friends has been nominated for best acts on his roster pop hits u2 had been yet in a number of films in 1959 the best biggest film category with the pair and the urban act that it was not one of the most important guitarists of the film is a head in the such i think if you haven t want out that leave before the number of humour have been squeezed by paul told bbc world s players were around as much as a long member of the current account newspaper is a longer where he stressed he had not a problem for the political ambitions of the government also picked out in the bids which include downloading the family alleged cooper says give one of the american boundaries of drugs getting,0.001797839403152466,50
2,GRU,1.0,why did the market change?,is not convinced that obviously could be meanwhile the board more expensive structure that will cover them greater spending demand for europe s lawyers are said they have said they have made sort of people and they ve tried to they do not want to make over the necessary gazprom of parmalat yukos has moved to a stake in the bid as a possible media of baikal had shared legal action against rosneft giant yukos will still have a one month stake in february tax evasion and a separate firm about in recent years the mexican stock exchange it s concern at the financial markets another dented bank in the imf feels that for the maldives are being huge in the poorest countries are particularly affected by turkey s economic roadmap has said it would be hard pressed to continue interest rates rising interest rates like the manufacturing sector and the growing economy which has range the growth picture should be better than the job growth from the current size of countries such as weak sri lanka iraq and domestic leaders starts by number one the world s leading stock market australian mining firm the us dollar has been fined,0.0017519831657409669,50
3,LSTM,0.7,what is government planning now?,find that some of the business s requirement has been absent from the us currency and the beatles this year s meltdown chart and the final five years on tuesday the same chart rundown as the young film will be dominated by religious conservatives who could be a positive issue and at least a couple of 90 000 people under the first time when the russian government was not in the currency that is likely to be offset by the euro s shares from the yen for the lse s slide due to consider its biggest production of the us unit of the us sold on jet fuel prices have risen sharply the fourth month in the first quarter of 2004 which were optimistic on the list were the company said it expects to be a significant value in the us the company is likely to be able to buy its 777 assets to ease fears that the government has been linked to the authorities have been rife the result of the privatisation of 1 costs he said he said the government may not be privatised said the offer is not to be presented with the law to be sent,0.0017675888538360596,50
3,GRU,0.7,what is government planning now?,the result of all time in the uk in a us school of rock n roll the band are also calling for the band s royalties on the launch of the us the restriction launched have been hit by the flooding the general success of the uk s main films are and all have all really shines off the ground but it s a good chance in the top five the awards is also tipped to be held on bbc one in the world s biggest stars in the us and canada the commerce department which is hit by airlines enjoys either a declining recovery of the country s economic downturn the depreciation of brazil s currency had has fallen as a result of the government which will be given to meet the budget deficit to be 10 below the poverty of its economy and fears that the us economy will worsen considerably cbi chief executive rick wagoner said the government is set to be a strong hit economy but the budget was looking for the next six months despite the success of the bank of england the bank of england said he was surprised about the political ambitions of,0.001760849952697754,50
