query id,model,temperature,query,generated text,avg generation time per token
1,LSTM,0.7,what happened in news today?,s true urban is laughable a bright music and the sad party is the first time but said the film tackled the supreme court at the centre of the year s first novel un movie director and the film makers including the best known and final atlantic the aviator director martin scorsese actor jamie foxx actress hilary swank wendy ide the void born prize in london will be a millionaire for an original band aid single in the uk s leicester square with a new new us artist in 2003 to celebrate the film version of more than more than 10 000 the best supporting role in the best actress category for british costume director martin scorsese s gangs of the year the pundits include the rapper s star that the award will have been regarded in 1969 the us vibe awards have been named best british artist and best film including best supporting actress for the best supporting actor award for her performance in hitchhiker s best album oscar for her role in eternal sunshine of the spotless mind dame judi dench s closer to perform my family s own genius in wham and other film professionals in the,0.0031775104999542236
1,GRU,0.7,what happened in news today?,s tv shows have been given a record of a 20 stake in the scheduled sale of the world s poorest nations the move was as far as the lisbon targets of an state of the car market the decision to ban that rates is to take a potential point of in 2004 the company s share price was a remarkable part of the us economy the us which has been orders for the government to reduce its dependence on sunday the telegraph said it had been advised to enter the company s owner which is trying to make a formal deal in the price of yukos has said it was a a sign in the case deutsche bank s interest in a break up for the 100 of the world s biggest maker and canada in the uk s corus of the uk and internationally the last 25 years is a lot of meaning in the house about the angels i ve appreciated all time i ve been nominated for the first time in the best film category for the best film category in the best comedy category include mike leigh s abortion drama vera drake who took a,0.0013823771476745605
1,LSTM,1.0,what happened in news today?,s really long strategic action look well transferred this group the nature of france s survey is a built on stock stock exchange rose 8 by at least 75 pence to 293 5p the firm was announced to report lse shareholders the bank of england would also support their rush was a more popular situation and it should not be going to keep and the cost of its recovery is expected to increase the country s response to the pipeline in new york there is to close a share of building his islamic activities i kept just after it s just be allowed to introduce a broader christmas and run the wind up again at warner bros s control and economic events through the 2 4bn 2 million jobs according to their sales today disaster southcorp s rate setting monsanto said it is appraising a single and lawyers which brings the theme between japan s parmalat government he added that a tariff rise in front comes there said box office rate came back under 4 costly petrel was crucial to react and boost under performance and the owners of the world trade organisation in january mercedes said abn amro will,0.0015335190296173096
1,GRU,1.0,what happened in news today?,s overall flying square he broke during the firing of explosions popular critics said a knee order could a move from the mtv community and have stepped that the red carpet will be on the ground at the mtv new york awards also crowned the number of nominees for us listings have been delayed at 12 5bn their record performance in the uk which may be screened u2 s figure will be sold for its release in london s trafalgar square on saturday night were up at nine of ballet at one of the future s news and was the most potent symbol of the 1990s internet and telecoms and had revised interest rates to be a transitional monetary policy for the market in a 1 cash paris currency network said s securities in paris the us economy has picked up the second largest over a second days last week is a biography meaningless film that category he said the film took an award to honour the film role for south african films the incredibles also received nominations for the aviator for several nominations the awards hit at the brits s survey the original channel will include alan bennett s,0.001383213996887207
2,LSTM,0.7,why did the market change?,last week he said bez said spacey director of the industry s ballet committee was set to be a difficult year on friday but the paris firm was a new designation and sparked any political strains in united and the world the only date of the market s announcement comes at the centre of the us economy is expected to rise in november us analysts said that the office of trade has been accounted for the new european economies the firm has hit crops in london and critics the fao had been delayed by the uk s top companies both utility vehicles suvs the paper for the group of the company s board from worldcom fraud after two days over the past three years ago the government said it was looking to privatise us sales to reduce its fleet in the 1990s and the us has sold more than 1 8 trillion rupiah 58 million vehicles on the week since june consumer spending rose to 3 4 to 4 5 million jobless rate in the past week in 2004 and recording its reserves were hit in the us but the index of eight films were down 0 2 in the,0.001385493278503418
2,GRU,0.7,why did the market change?,with developments in the state of business and consumer spending and that the rate of mortgage lenders were too high to continue to keep rates on hold at the end of the year the figures showed the figures on the dollar s inability to be careful to be quickly into the market on monday the government has been seen as a result of the development of the world s second largest oil producer in the uk and a potential company deal in russia yukos is also eliminating one of the first two months of 2004 was the world s biggest economy in december allowing malaysia s biggest stock market operator on the currency it is now expected to be 4 7 on the news which is expected in 2005 may be worth 6 2bn record levels in the us and europe and the us it is the trouble with a good loss for nearly 2bn in 2004 and has been sold to a little known the firm has been an estimated 18 year dragged by a recent rise in france s total of the year in annual pre million dollar baby modest wine tv channel 4 and the highest level,0.0014341902732849122
2,LSTM,1.0,why did the market change?,if they have long since they say we have never don t think it s a cost of britain s chances of a negative bond regime but this could be brought to speculation they were losing the victims of the real boom to her internet population to draw up the government s investigation said pipa is to encourage a red no legal measure in the early 1980s and rely in turn gerry anderson was born but clearly have seen they such as flying davis and according to the movie now body uk films are getting weeks and the beast companies do don t want to listen to this is its biggest fun of the country s credibility on thursday productivity related music and food vehicles both would be threatened from cut in clinical costs and left from the same unless the dollar is to cut jobs with the prius mini season many of the latest venture could need to raise its acquisition from early the drop in first has increased its third quarter of the manufacturing s share single in last year sales from 2 4 however if the credit rate was to invest 5 5 at number 10 while,0.0013831603527069093
2,GRU,1.0,why did the market change?,that indonesians have participated in high prices excluding uk investment in the market where exports fell a over 6 in a year earlier the general gains were expected to increase the price of over both which said the mpc may be ready for a time but must be a huge market in london and the economy is likely to rise in the two decades on companies back shares this year and has been given china s lenovo to cut unemployment up to 2 4 trillion yuan the number of japanese domestic product rose to an annual rate of 3 0 7 in the second quarter compared at one single last month s chart was bet and was released in the uk with 26 american box office download sales and the best pay nomination despite good rock performance in the us means what to be however others are still able to be rising profit in the 3 25 other jobs for the year below 2004 fuelled by 200m at the start of the year to the euro on wednesday the nationwide said the figures were released to be enhance this year from the news the firms would be due to oil,0.0013603639602661132
3,LSTM,0.7,what is government planning now?,expect the decline of its economy with 46 of the us economy and it is that the most expensive rate may slow the deficit marked this year to allow profit from a rate of 1 from 1 6 in the year car prices fell in november marginally to 180 in 2004 while sales grew 0 7 in 2005 although the oil sector was the first time in 2004 compared with a us economy grew 1 5 on the same period in 2003 according to the ft but mr sullivan said it is to relocate any career in the us s biggest presidency of the country s credibility on monday basis it s a large element of the help now we will need up the gap of their own pockets the country s shares at the end of the year in january was a strong contributor to the number of six banks they had upped a bidding war on the reuters news agency in the last two years it was a long standing player for the worsening olympic made in 2003 from the game and former blur jason den produced dizzee rascal the orchestra the bbc s partial commercial re invented,0.001386420726776123
3,GRU,0.7,what is government planning now?,even the bank s prediction of the economy because it excludes the dollar s weakness of imports but the dollar is unlikely that the us economy had been expected to be selling in the shape of the economy the economy was a positive case with the world s poorest nations the world s biggest lender has been devastated the spotlight in the us dollar that has had to be replaced in recent months the company s shares in london has also remained themselves to buy the lse which was rejected by a 1 3bn bid lse chief executive clara furse however the report said it was a series of evidence to the announcement in december the european commission said it had been expected to win the latest meeting in 2003 the bank of england was at the centre of the government to spend the budget deficit to cut a huge fine in the g7 industrialised years was the most potent symbol of the 1990s internet the budget deficit to be in the past few years should be the only time in the process of cooking the open at the end of its property in the market mr murray said he,0.001420835256576538
3,LSTM,1.0,what is government planning now?,produced india s peace bank qantas said the securities exchange has told with the land agreement but the defence based in india has been restructured for a recovery it s very an excuse for ireland at their radio level and the north east of its current performance foot business rate is being partly in thailand are slim and the country is one of a slew to report germany s new address have been delayed for developing nations last year but led to an media owned out war on the early 1990s to someone on the university of mgm told reuters the directors suspended a reference to introduce the new us stock market operator in the eu representing that a strategy of using political unit involving embezzlement to another creditor eastern united trade centre in way many eu ministers are trying to have legal amounts of overbooking our japan is a failure to gold leases the value of the market which produces debt although investment are still going on a five number one airlines in germany chinese exports had kept spending in the month would decline by january to assist two diesel sales of about staff and the financial impact economic,0.0013782358169555664
3,GRU,1.0,what is government planning now?,this is good for areas then mpc john brady is being investigated by the international monetary fund imf said it is expected to remain at 10 in 2003 the bank said earlier in 2003 that of the case will be a claim to wife and taking the back to a fair box office on the shortlist it took a special achievement award for her book prize for best star and actress imelda staunton has said its current audience will go ahead of this month s oscars and uk film millionaires the overall academy awards was voted by at the ceremony at number 11 pop star alan alda in the musical staged the upbeat role and a special storm of modern film recording dan brown s mary artistic theatre in a well comedy mary poppins he said the sex and open of essex culture has been worked on the continent the tsunami said the new york budget has had forecast in recent months in cairn has fallen by 1 6 million but the numbers was named calls for 25 for example i m a very surprised i ve ever quite very you and i m now much so giving the woman,0.0013412046432495117
